Unnamed: 0.1,Unnamed: 0,User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web,Card Category,Rating
62,62,19,2,Mastercard,Debit,5.58524E+15,Mar-05,749,YES,1,"$9,664 ",Jan-98,2011,No,Mastercard Gold,0
63,63,19,3,Mastercard,Debit,5.35528E+15,Jun-20,810,YES,1,"$8,367 ",Mar-09,2009,No,Mastercard Gold,0
64,64,19,4,Visa,Credit,4.15009E+15,Jun-22,135,YES,2,"$6,100 ",Feb-04,2009,No,Visa Classic,0.533498709
65,65,20,0,Mastercard,Debit,5.9793E+15,Feb-20,630,YES,3,"$9,944 ",Feb-20,2020,No,Mastercard Standard,0
66,66,20,1,Visa,Credit,4.47364E+15,Jan-20,771,YES,1,"$7,900 ",Jan-20,2020,No,Visa Classic,0.181818182
67,67,20,2,Visa,Credit,4.80012E+15,Dec-20,201,YES,1,"$5,600 ",Feb-20,2020,No,Visa Platinum,0.52892562
68,68,21,0,Visa,Debit,4.83233E+15,Aug-23,580,YES,1,"$68,400 ",Jan-20,2020,No,Visa Gold,0
69,69,21,1,Mastercard,Debit,5.27808E+15,Apr-23,437,YES,2,"$77,237 ",Jan-20,2020,No,Mastercard Gold,0
70,70,22,0,Visa,Debit,4.86985E+15,Aug-24,701,YES,2,"$4,488 ",Jul-02,2015,No,Visa Platinum,0.119455584
71,71,22,1,Visa,Credit,4.23153E+15,Feb-20,499,YES,2,"$12,500 ",Nov-14,2014,No,Visa Gold,0
72,72,23,0,Mastercard,Debit,5.81361E+15,Dec-20,734,YES,2,"$23,432 ",Sep-01,2008,No,Mastercard Gold,0
73,73,23,1,Amex,Credit,3.66521E+14,May-22,447,YES,2,"$8,800 ",May-05,2011,No,Amex Blue,0
74,74,24,0,Mastercard,Credit,5.3927E+15,Feb-20,886,YES,2,"$12,100 ",Feb-20,2020,No,Mastercard Standard,0
75,75,25,0,Mastercard,Debit,5.04815E+15,Feb-20,931,YES,1,"$9,708 ",Jan-20,2020,No,Mastercard Standard,0
76,76,25,1,Amex,Credit,3.71643E+14,Nov-21,683,YES,2,"$12,000 ",Jul-09,2011,No,Amex Blue,0
77,77,25,2,Mastercard,Debit,5.70073E+15,Nov-23,230,YES,1,"$11,973 ",Mar-12,2012,No,Mastercard Standard,0
78,78,26,0,Mastercard,Debit,5.38944E+15,Feb-22,658,YES,2,"$13,601 ",Oct-06,2014,No,Mastercard Standard,0
79,79,26,1,Mastercard,Credit,5.07912E+15,Jan-24,849,YES,2,"$7,800 ",Feb-20,2020,No,Mastercard Standard,0
80,80,27,0,Visa,Debit,4.39043E+15,Oct-23,790,YES,2,"$17,816 ",Aug-08,2016,No,Visa Classic,0
81,81,28,0,Mastercard,Debit,5.21757E+15,Mar-21,625,NO,2,"$17,707 ",Oct-10,2010,No,Mastercard Standard,0
82,82,28,1,Amex,Credit,3.97857E+14,Nov-20,2,YES,1,"$9,500 ",May-05,2009,No,Amex Platinum,0
83,83,29,0,Mastercard,Debit,5.52918E+15,Jan-22,182,YES,1,"$19,110 ",May-10,2011,No,Mastercard Standard,0.29634123
84,84,29,1,Mastercard,Debit,5.48902E+15,Aug-23,196,YES,1,"$13,428 ",Oct-16,2016,No,Mastercard Standard,0.29634123
85,85,29,2,Mastercard,Debit,5.79368E+15,Jun-22,43,YES,1,"$24,608 ",Aug-05,2009,No,Mastercard Platinum,0.209629015
86,86,29,3,Mastercard,Debit,5.84537E+15,Sep-22,111,YES,1,"$13,441 ",Jan-08,2011,No,Mastercard Standard,0.29634123
87,87,30,0,Mastercard,Debit (Prepaid),5.75029E+15,Feb-20,788,YES,2,$74 ,Jan-20,2020,No,Mastercard Standard,0
88,88,31,0,Mastercard,Debit,5.42979E+15,Oct-12,674,YES,1,"$17,872 ",Jun-08,2008,No,Mastercard Standard,0.282367973
89,89,31,1,Mastercard,Credit,5.30111E+15,Sep-22,425,YES,1,"$12,900 ",Dec-03,2010,No,Mastercard Standard,0.282367973
90,90,31,2,Mastercard,Debit,5.5711E+15,May-24,52,YES,2,"$25,264 ",Mar-06,2020,No,Mastercard Platinum,0.059980125
91,91,31,3,Mastercard,Debit,5.40195E+15,Dec-22,920,YES,2,"$20,634 ",Mar-05,2007,No,Mastercard Standard,0.282367973
92,92,32,0,Visa,Credit,4.29536E+15,Apr-07,656,YES,2,"$12,200 ",Dec-06,2010,No,Visa Classic,0
93,93,32,1,Visa,Credit,4.73748E+15,Feb-10,221,YES,2,"$5,500 ",Jan-08,2008,No,Visa Classic,0
94,94,33,0,Visa,Credit,4.50937E+15,Mar-20,281,NO,2,"$6,600 ",Feb-20,2020,No,Visa Classic,0
95,95,33,1,Mastercard,Debit,5.06826E+15,Nov-20,890,YES,1,"$25,815 ",Dec-17,2017,No,Mastercard Gold,0
96,96,34,0,Amex,Credit,3.54813E+14,Jun-21,527,YES,2,"$8,400 ",Jan-14,2014,No,Amex Platinum,0
97,97,34,1,Mastercard,Debit,5.91093E+15,Feb-20,525,YES,1,"$21,628 ",Mar-01,2008,No,Mastercard Platinum,0.119556172
98,98,34,2,Mastercard,Debit,5.40018E+15,Oct-21,412,YES,1,"$24,232 ",Jul-09,2009,No,Mastercard Platinum,0.119556172
99,99,35,0,Mastercard,Debit,5.03905E+15,Nov-23,339,YES,2,"$10,775 ",Feb-09,2010,No,Mastercard Standard,0
100,100,35,1,Mastercard,Debit (Prepaid),5.67201E+15,Feb-20,598,YES,2,$105 ,Jun-07,2013,No,Mastercard Standard,0
101,101,36,0,Visa,Credit,4.33673E+15,Jan-21,221,NO,2,"$7,100 ",Nov-10,2010,No,Visa Platinum,0.330553584
102,102,36,1,Mastercard,Debit,5.98558E+15,Jul-24,951,YES,1,"$29,351 ",Nov-05,2007,No,Mastercard Platinum,0.108055358
103,103,36,2,Mastercard,Debit,5.28106E+15,Mar-20,835,YES,2,"$15,125 ",Apr-08,2012,No,Mastercard Platinum,0.108055358
104,104,36,3,Mastercard,Credit,5.61566E+15,Nov-21,865,YES,2,"$8,000 ",Nov-03,2008,No,Mastercard Standard,0.311391057
105,105,36,4,Mastercard,Debit (Prepaid),5.31488E+15,May-11,994,YES,1,$83 ,Nov-10,2010,No,Mastercard Platinum,0.108055358
106,106,37,0,Amex,Credit,3.11095E+14,Jan-24,536,YES,2,"$23,700 ",Jul-12,2012,No,Amex Platinum,0
107,107,38,0,Visa,Credit,4.62475E+15,Feb-24,986,YES,2,$700 ,Dec-16,2016,No,Visa Gold,0
108,108,39,0,Mastercard,Debit,5.59556E+15,Jul-24,594,YES,2,"$7,488 ",Jul-06,2016,No,Mastercard Platinum,1
109,109,40,0,Visa,Credit,4.17102E+15,Jan-02,225,NO,1,"$24,900 ",Feb-99,2010,No,Visa Gold,0
110,110,40,1,Mastercard,Debit,5.24634E+15,Jun-21,638,YES,2,"$30,971 ",Mar-05,2020,No,Mastercard Platinum,0.275919893
111,111,40,2,Amex,Credit,3.99966E+14,Jan-24,343,YES,1,"$24,400 ",Jan-20,2020,No,Amex Platinum,0
112,112,40,3,Mastercard,Debit,5.06414E+15,Feb-20,599,YES,2,"$53,549 ",Jan-20,2020,No,Mastercard Platinum,0.275919893
113,113,40,4,Visa,Debit,4.90554E+15,Sep-18,573,YES,1,"$53,036 ",Oct-13,2013,No,Visa Classic,0.085042162
114,114,40,5,Mastercard,Debit,5.70385E+15,Dec-24,300,YES,1,"$35,750 ",Aug-11,2011,No,Mastercard Platinum,0.275919893
115,115,40,6,Visa,Debit,4.0554E+15,Jul-21,902,YES,1,"$33,375 ",Mar-13,2013,No,Visa Classic,0.085042162
116,116,41,0,Visa,Debit (Prepaid),4.58748E+15,Jul-23,858,YES,2,$22 ,Dec-10,2010,No,Visa Classic,0.580731015
117,117,41,1,Discover,Credit,6.52143E+15,Nov-20,608,YES,1,"$13,100 ",Aug-14,2014,No,,0
118,118,41,2,Visa,Debit,4.19971E+15,Oct-24,440,YES,1,"$16,516 ",Jul-03,2011,No,Visa Classic,0.580731015
119,119,41,3,Mastercard,Credit,5.17274E+15,Jul-16,906,YES,1,"$15,700 ",May-04,2011,No,Mastercard Standard,0.243671635
120,120,41,4,Mastercard,Debit,5.21464E+15,May-24,474,YES,1,"$21,058 ",Aug-03,2007,No,Mastercard Gold,0
121,121,42,0,Visa,Debit,4.01388E+15,Oct-23,543,YES,2,"$36,425 ",Jan-02,2004,No,Visa Classic,0.214299816
122,122,42,1,Visa,Debit (Prepaid),4.96605E+15,Mar-21,585,YES,2,$91 ,Dec-16,2016,No,Visa Gold,0
123,123,42,2,Mastercard,Credit,5.24758E+15,Sep-21,379,YES,1,"$13,400 ",Apr-05,2014,No,Mastercard Standard,0.111707028
124,124,42,3,Mastercard,Credit,5.91132E+15,Apr-21,37,YES,2,"$21,600 ",Apr-10,2010,No,Mastercard Gold,0
125,125,43,0,Mastercard,Debit,5.05877E+15,Feb-20,12,NO,1,"$9,090 ",Feb-20,2020,No,Mastercard Platinum,1
126,126,44,0,Visa,Debit,4.68288E+15,Feb-23,846,NO,1,"$25,942 ",Nov-12,2012,No,Visa Platinum,0.705707965
127,127,44,1,Mastercard,Credit,5.88284E+15,Jul-19,614,YES,2,"$10,700 ",Feb-03,2013,No,Mastercard Gold,0
128,128,44,2,Mastercard,Credit,5.63715E+15,Jul-22,630,YES,2,"$4,900 ",Feb-20,2020,No,Mastercard Gold,0
129,129,45,0,Mastercard,Credit,5.1157E+15,Apr-22,587,NO,1,"$18,100 ",Feb-20,2020,No,Mastercard Gold,0
130,130,46,0,Amex,Credit,3.2464E+14,Mar-24,659,YES,2,"$7,200 ",Jan-20,2020,No,Amex Blue,0
131,131,47,0,Mastercard,Debit,5.03343E+15,Feb-20,546,YES,2,"$22,660 ",Jul-04,2007,No,Mastercard Standard,0.0526496
132,132,47,1,Discover,Credit,6.96995E+15,Dec-22,588,YES,1,"$19,800 ",May-11,2011,No,,0
133,133,47,2,Mastercard,Credit,5.18123E+15,Nov-24,820,YES,2,"$15,500 ",Jan-05,2014,No,Mastercard Gold,0
134,134,47,3,Visa,Debit (Prepaid),4.31069E+15,Jun-23,458,YES,1,$13 ,Jan-05,2008,No,Visa Classic,0.590655289
135,135,47,4,Mastercard,Debit,5.05107E+15,Jun-21,526,YES,2,"$4,317 ",Jul-01,2011,No,Mastercard Gold,0
136,136,48,0,Mastercard,Debit,5.45692E+15,Dec-21,553,NO,1,"$14,719 ",Mar-00,2008,No,Mastercard Gold,0
137,137,48,1,Mastercard,Debit,5.13266E+15,May-21,593,YES,1,"$9,532 ",Sep-17,2017,No,Mastercard Platinum,0.695493244
138,138,48,2,Mastercard,Credit,5.75287E+15,Mar-20,486,YES,1,"$10,900 ",Jul-06,2014,No,Mastercard Standard,0
139,139,49,0,Mastercard,Credit,5.49423E+15,Sep-24,428,YES,2,"$6,200 ",Nov-01,2012,No,Mastercard Platinum,0.290247987
140,140,49,1,Mastercard,Debit,5.78964E+15,Dec-12,43,YES,2,"$2,903 ",Nov-05,2011,No,Mastercard Platinum,0.290247987
141,141,49,2,Mastercard,Debit,5.39296E+15,Oct-20,803,YES,2,"$4,355 ",Dec-99,2010,No,Mastercard Platinum,0.290247987
142,142,50,0,Mastercard,Debit,5.18282E+15,Apr-21,126,YES,1,"$28,963 ",Nov-07,2012,No,Mastercard Gold,0
143,143,50,1,Mastercard,Debit,5.10235E+15,Dec-22,667,YES,2,"$20,913 ",May-16,2016,No,Mastercard Gold,0
144,144,50,2,Mastercard,Debit,5.03314E+15,Jul-24,170,YES,1,"$23,344 ",Feb-10,2010,No,Mastercard Platinum,0.503193837
145,145,50,3,Mastercard,Debit,5.61152E+15,Jan-20,882,YES,2,"$33,642 ",Oct-16,2016,No,Mastercard Platinum,0.503193837
146,146,51,0,Mastercard,Debit,5.0374E+15,Jan-22,681,YES,1,"$14,695 ",Sep-10,2011,No,Mastercard Standard,0
147,147,52,0,Mastercard,Credit,5.57136E+15,Sep-23,510,YES,1,"$13,200 ",Jan-07,2015,No,Mastercard Gold,0
148,148,52,1,Visa,Debit,4.08303E+15,Jan-20,173,YES,1,"$29,950 ",Sep-08,2013,No,Visa Platinum,0.560513131
149,149,52,2,Visa,Credit,4.82992E+15,Jul-24,768,YES,2,"$4,600 ",Dec-07,2011,No,Visa Platinum,0.560513131
150,150,53,0,Mastercard,Debit,5.45849E+15,Dec-22,92,YES,1,"$10,051 ",Apr-02,2011,No,Mastercard Standard,0
151,151,53,1,Mastercard,Debit,5.87909E+15,Dec-15,729,YES,2,"$9,796 ",Feb-03,2013,No,Mastercard Standard,0
152,152,54,0,Mastercard,Debit,5.76944E+15,Oct-21,957,YES,1,"$17,826 ",Oct-09,2009,No,Mastercard Platinum,0.274750035
153,153,54,1,Mastercard,Debit,5.5888E+15,Nov-24,778,YES,1,"$19,086 ",Dec-06,2009,No,Mastercard Standard,0.150330939
154,154,54,2,Visa,Debit,4.41069E+15,Jun-24,265,YES,2,"$17,345 ",Oct-14,2014,No,Visa Gold,0
155,155,54,3,Visa,Debit,4.47082E+15,Sep-20,923,YES,2,"$17,976 ",Feb-13,2013,No,Visa Gold,0
156,156,54,4,Visa,Debit,4.80434E+15,Jan-22,279,YES,2,"$16,447 ",Jan-19,2019,No,Visa Gold,0
157,157,55,0,Visa,Debit,4.19436E+15,Oct-24,271,YES,2,"$29,573 ",Oct-08,2009,No,Visa Platinum,0.17179586
158,158,55,1,Mastercard,Debit (Prepaid),5.43647E+15,Dec-21,48,YES,2,$98 ,Dec-10,2010,No,Mastercard Platinum,0.22778573
159,159,55,2,Mastercard,Debit,5.64887E+15,Aug-19,71,YES,2,"$2,559 ",Aug-02,2012,No,Mastercard Gold,0
160,160,55,3,Mastercard,Debit,5.91424E+15,Oct-12,436,YES,2,"$6,552 ",Jan-03,2010,No,Mastercard Platinum,0.22778573
161,161,56,0,Mastercard,Credit,5.19378E+15,Jan-21,591,YES,2,"$13,800 ",Jan-20,2020,No,Mastercard Platinum,1
162,162,57,0,Mastercard,Debit,5.95793E+15,Aug-20,746,YES,1,"$16,375 ",Feb-20,2020,No,Mastercard Gold,0
163,163,57,1,Visa,Debit,4.55706E+15,May-23,780,YES,1,"$14,213 ",Jan-20,2020,No,Visa Classic,0.126436782
164,164,57,2,Visa,Debit (Prepaid),4.88322E+15,Sep-20,2,YES,1,$73 ,Feb-20,2020,No,Visa Classic,0.126436782
165,165,58,0,Mastercard,Debit,5.47641E+15,Nov-22,688,YES,2,"$53,466 ",Jul-07,2013,No,Mastercard Platinum,1
166,166,59,0,Visa,Credit,4.69894E+15,Sep-20,450,YES,1,"$6,600 ",Jan-11,2013,No,Visa Classic,0
167,167,59,1,Mastercard,Credit,5.57915E+15,Jun-22,806,NO,2,"$7,200 ",Dec-15,2015,No,Mastercard Standard,0
168,168,60,0,Mastercard,Debit,5.09961E+15,Nov-20,856,YES,1,"$2,868 ",Jan-20,2020,No,Mastercard Gold,0
169,169,60,1,Discover,Credit,6.1775E+15,May-24,97,YES,1,"$3,400 ",Jan-20,2020,No,,0
170,170,61,0,Mastercard,Debit,5.18813E+15,Jan-22,446,YES,1,"$12,915 ",Oct-11,2013,No,Mastercard Platinum,0.349286261
171,171,61,1,Visa,Debit (Prepaid),4.86032E+15,Dec-23,366,YES,2,$84 ,Apr-09,2017,No,Visa Gold,0
172,172,61,2,Discover,Credit,6.4176E+15,Jul-21,504,YES,2,"$17,600 ",Apr-18,2018,No,,0
173,173,61,3,Mastercard,Debit,5.51672E+15,Dec-12,621,YES,1,"$31,542 ",Nov-06,2009,No,Mastercard Gold,0
174,174,61,4,Mastercard,Debit,5.89105E+15,Feb-22,362,YES,2,"$23,049 ",Jun-13,2013,No,Mastercard Platinum,0.349286261
175,175,61,5,Visa,Debit,4.22257E+15,May-20,141,YES,1,"$29,734 ",Dec-17,2017,No,Visa Classic,0.126242671
176,176,61,6,Visa,Credit,4.45374E+15,Jan-20,346,YES,2,"$27,000 ",Sep-11,2016,No,Visa Platinum,0.206092276
177,177,61,7,Mastercard,Debit (Prepaid),5.33598E+15,Nov-22,320,YES,1,$18 ,Mar-08,2010,No,Mastercard Standard,0.318378792
178,178,62,0,Mastercard,Debit,5.70815E+15,Apr-23,824,YES,1,"$17,848 ",Dec-15,2015,No,Mastercard Platinum,0.143176234
179,179,62,1,Mastercard,Debit,5.23868E+15,Nov-22,870,NO,1,"$25,563 ",May-10,2010,No,Mastercard Platinum,0.143176234
180,180,62,2,Visa,Credit,4.74088E+15,Apr-20,168,YES,2,"$12,000 ",Oct-10,2010,No,Visa Platinum,0.527287618
181,181,62,3,Amex,Credit,3.61649E+14,Nov-18,709,NO,2,"$6,600 ",Feb-12,2012,No,Amex Gold,0
182,182,63,0,Amex,Credit,3.63306E+14,Sep-23,943,NO,1,"$5,600 ",Jan-20,2020,No,Amex Blue,0
183,183,63,1,Visa,Debit,4.36086E+15,Nov-22,428,YES,3,"$11,873 ",Feb-20,2020,No,Visa Classic,0.101449275
184,184,63,2,Mastercard,Credit,5.49802E+15,Feb-20,871,YES,1,"$7,200 ",Feb-20,2020,No,Mastercard Platinum,0.666666667
185,185,64,0,Amex,Credit,3.81573E+14,Aug-24,145,YES,1,"$10,000 ",Feb-20,2020,No,Amex Platinum,0
186,186,64,1,Mastercard,Credit,5.0793E+15,Apr-23,381,YES,2,$500 ,Nov-10,2010,No,Mastercard Standard,0
187,187,65,0,Mastercard,Debit,5.547E+15,Feb-20,718,YES,1,"$22,697 ",Feb-20,2020,No,Mastercard Standard,0
188,188,65,1,Mastercard,Credit,5.32603E+15,Aug-23,437,YES,1,"$18,000 ",Mar-13,2013,No,Mastercard Platinum,0.002329193
189,189,65,2,Mastercard,Debit,5.09615E+15,Oct-24,862,YES,1,"$32,903 ",Jun-10,2010,No,Mastercard Gold,0
190,190,66,0,Visa,Debit,4.48987E+15,Aug-21,547,YES,2,"$12,764 ",May-99,2010,No,Visa Classic,0
191,191,66,1,Mastercard,Credit,5.62173E+15,Oct-22,60,YES,1,"$6,300 ",Feb-19,2019,No,Mastercard Standard,0
192,192,67,0,Mastercard,Debit,5.92314E+15,Feb-22,934,YES,2,"$7,541 ",Sep-08,2013,No,Mastercard Standard,0
193,193,67,1,Visa,Debit,4.44799E+15,Mar-22,995,YES,2,"$1,266 ",Jun-07,2012,No,Visa Platinum,0.480035668
194,194,67,2,Mastercard,Credit,5.00031E+15,Apr-20,263,NO,1,"$9,500 ",Sep-14,2014,No,Mastercard Standard,0
195,195,68,0,Mastercard,Debit,5.70731E+15,Apr-20,203,YES,2,"$1,837 ",Jun-10,2010,No,Mastercard Standard,0
196,196,68,1,Mastercard,Debit,5.86499E+15,Aug-23,258,YES,2,"$17,453 ",Feb-06,2008,No,Mastercard Platinum,0.358007705
197,197,69,0,Visa,Debit,4.22889E+15,Oct-13,543,NO,1,"$28,283 ",May-08,2012,No,Visa Classic,0.06144
