,User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web,Credit Card Category
46,15,5,Visa,Debit,4986369179342271,11/2009,367,YES,1,$620,02/2002,2014,No,Classic
47,16,0,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,$14499,01/2008,2008,No,UNKNOWN
48,16,1,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,$12332,08/2007,2009,No,UNKNOWN
49,16,2,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,$18424,08/2013,2013,No,UNKNOWN
50,16,3,Visa,Credit,4708914311449293,07/2023,149,NO,1,$15400,08/2003,2008,No,Classic
51,16,4,Visa,Debit,4795724941278913,02/2022,136,YES,2,$14548,08/2007,2013,No,Classic
52,16,5,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,$10100,09/2016,2016,No,Gold
53,17,0,Discover,Credit,6580244636542196,04/2011,416,YES,1,$11200,02/2004,2008,No,Personal Core
54,17,1,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,$20291,12/2009,2011,No,UNKNOWN
55,17,2,Visa,Debit,4382324870900908,08/2018,852,YES,1,$32092,01/2006,2010,No,UNKNOWN
56,17,3,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,$20463,01/2020,2020,No,UNKNOWN
57,18,0,Visa,Debit,4465362453388909,08/2022,738,YES,1,$15802,01/2020,2020,No,Classic
58,18,1,Visa,Debit,4668447208616693,02/2020,314,NO,2,$4612,02/2020,2020,No,UNKNOWN
59,18,2,Discover,Credit,6377595394803324,07/2020,675,YES,2,$19900,01/2020,2020,No,UNKNOWN
60,19,0,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,$73,02/2000,2012,No,Standard
61,19,1,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,$11858,09/2009,2010,No,UNKNOWN
62,19,2,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,$9664,01/1998,2011,No,Business
63,19,3,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,$8367,03/2009,2009,No,World
64,19,4,Visa,Credit,4150093118072730,06/2022,135,YES,2,$6100,02/2004,2009,No,Classic
65,20,0,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,$9944,02/2020,2020,No,Standard
66,20,1,Visa,Credit,4473643731469839,01/2020,771,YES,1,$7900,01/2020,2020,No,Classic
67,20,2,Visa,Credit,4800116569994473,12/2020,201,YES,1,$5600,02/2020,2020,No,Traditional
68,21,0,Visa,Debit,4832328468851061,08/2023,580,YES,1,$68400,01/2020,2020,No,UNKNOWN
69,21,1,Mastercard,Debit,5278075482033392,04/2023,437,YES,2,$77237,01/2020,2020,No,Prepaid
70,22,0,Visa,Debit,4869845530765333,08/2024,701,YES,2,$4488,07/2002,2015,No,UNKNOWN
71,22,1,Visa,Credit,4231526239204033,02/2020,499,YES,2,$12500,11/2014,2014,No,Classic
72,23,0,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,$23432,09/2001,2008,No,UNKNOWN
73,23,1,Amex,Credit,366520954874839,05/2022,447,YES,2,$8800,05/2005,2011,No,Personal
74,24,0,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,$12100,02/2020,2020,No,World For Business
75,25,0,Mastercard,Debit,5048151330736425,02/2020,931,YES,1,$9708,01/2020,2020,No,UNKNOWN
76,25,1,Amex,Credit,371643368691556,11/2021,683,YES,2,$12000,07/2009,2011,No,Personal
77,25,2,Mastercard,Debit,5700734711260263,11/2023,230,YES,1,$11973,03/2012,2012,No,UNKNOWN
78,26,0,Mastercard,Debit,5389442391430673,02/2022,658,YES,2,$13601,10/2006,2014,No,UNKNOWN
79,26,1,Mastercard,Credit,5079116875907423,01/2024,849,YES,2,$7800,02/2020,2020,No,UNKNOWN
80,27,0,Visa,Debit,4390425683290569,10/2023,790,YES,2,$17816,08/2008,2016,No,Classic
81,28,0,Mastercard,Debit,5217568630125704,03/2021,625,NO,2,$17707,10/2010,2010,No,Standard
82,28,1,Amex,Credit,397856635669220,11/2020,2,YES,1,$9500,05/2005,2009,No,Business
83,29,0,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,$19110,05/2010,2011,No,Corporate Purchasing
84,29,1,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,$13428,10/2016,2016,No,Platinum
85,29,2,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,$24608,08/2005,2009,No,UNKNOWN
86,29,3,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,$13441,01/2008,2011,No,UNKNOWN
87,30,0,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,$74,01/2020,2020,No,UNKNOWN
88,31,0,Mastercard,Debit,5429789020188285,10/2012,674,YES,1,$17872,06/2008,2008,No,Gold
89,31,1,Mastercard,Credit,5301114615829913,09/2022,425,YES,1,$12900,12/2003,2010,No,Prepaid
90,31,2,Mastercard,Debit,5571104183564029,05/2024,52,YES,2,$25264,03/2006,2020,No,Gold
91,31,3,Mastercard,Debit,5401948301255038,12/2022,920,YES,2,$20634,03/2005,2007,No,Platinum
92,32,0,Visa,Credit,4295364044956974,04/2007,656,YES,2,$12200,12/2006,2010,No,UNKNOWN
93,32,1,Visa,Credit,4737484014371342,02/2010,221,YES,2,$5500,01/2008,2008,No,UNKNOWN
94,33,0,Visa,Credit,4509365132510769,03/2020,281,NO,2,$6600,02/2020,2020,No,Classic
95,33,1,Mastercard,Debit,5068255294282305,11/2020,890,YES,1,$25815,12/2017,2017,No,UNKNOWN
96,34,0,Amex,Credit,354813103334804,06/2021,527,YES,2,$8400,01/2014,2014,No,UNKNOWN
97,34,1,Mastercard,Debit,5910929635230868,02/2020,525,YES,1,$21628,03/2001,2008,No,Standard
98,34,2,Mastercard,Debit,5400182448188961,10/2021,412,YES,1,$24232,07/2009,2009,No,World
99,35,0,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,$10775,02/2009,2010,No,UNKNOWN
100,35,1,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,$105,06/2007,2013,No,Personal
101,36,0,Visa,Credit,4336733185475861,01/2021,221,NO,2,$7100,11/2010,2010,No,Classic
102,36,1,Mastercard,Debit,5985582173054292,07/2024,951,YES,1,$29351,11/2005,2007,No,Standard
103,36,2,Mastercard,Debit,5281056728185174,03/2020,835,YES,2,$15125,04/2008,2012,No,Business
104,36,3,Mastercard,Credit,5615660494634705,11/2021,865,YES,2,$8000,11/2003,2008,No,UNKNOWN
105,36,4,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,$83,11/2010,2010,No,Platinum
106,37,0,Amex,Credit,311095486859536,01/2024,536,YES,2,$23700,07/2012,2012,No,Proprietary
107,38,0,Visa,Credit,4624747592911129,02/2024,986,YES,2,$700,12/2016,2016,No,Platinum
108,39,0,Mastercard,Debit,5595562388674401,07/2024,594,YES,2,$7488,07/2006,2016,No,World
109,40,0,Visa,Credit,4171022488649333,01/2002,225,NO,1,$24900,02/1999,2010,No,Traditional Rewards
110,40,1,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,$30971,03/2005,2020,No,Corporate
111,40,2,Amex,Credit,399966116933253,01/2024,343,YES,1,$24400,01/2020,2020,No,Business
112,40,3,Mastercard,Debit,5064137987234665,02/2020,599,YES,2,$53549,01/2020,2020,No,Prepaid
113,40,4,Visa,Debit,4905540969337037,09/2018,573,YES,1,$53036,10/2013,2013,No,Atm Card
114,40,5,Mastercard,Debit,5703849820939467,12/2024,300,YES,1,$35750,08/2011,2011,No,UNKNOWN
115,40,6,Visa,Debit,4055403312631050,07/2021,902,YES,1,$33375,03/2013,2013,No,Traditional
116,41,0,Visa,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,$22,12/2010,2010,No,Classic
117,41,1,Discover,Credit,6521426249819196,11/2020,608,YES,1,$13100,08/2014,2014,No,Personal
118,41,2,Visa,Debit,4199712815274632,10/2024,440,YES,1,$16516,07/2003,2011,No,Platinum
119,41,3,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,$15700,05/2004,2011,No,Enhanced
120,41,4,Mastercard,Debit,5214643602729093,05/2024,474,YES,1,$21058,08/2003,2007,No,Mixed Product
121,42,0,Visa,Debit,4013876625955765,10/2023,543,YES,2,$36425,01/2002,2004,No,Business
122,42,1,Visa,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,$91,12/2016,2016,No,Platinum
123,42,2,Mastercard,Credit,5247576622089394,09/2021,379,YES,1,$13400,04/2005,2014,No,Platinum
124,42,3,Mastercard,Credit,5911319900289832,04/2021,37,YES,2,$21600,04/2010,2010,No,Standard
125,43,0,Mastercard,Debit,5058769177189803,02/2020,12,NO,1,$9090,02/2020,2020,No,UNKNOWN
126,44,0,Visa,Debit,4682877628388639,02/2023,846,NO,1,$25942,11/2012,2012,No,UNKNOWN
127,44,1,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,$10700,02/2003,2013,No,UNKNOWN
128,44,2,Mastercard,Credit,5637149260486793,07/2022,630,YES,2,$4900,02/2020,2020,No,UNKNOWN
129,45,0,Mastercard,Credit,5115700923413241,04/2022,587,NO,1,$18100,02/2020,2020,No,Prepaid
130,46,0,Amex,Credit,324640473359364,03/2024,659,YES,2,$7200,01/2020,2020,No,UNKNOWN
131,47,0,Mastercard,Debit,5033428838471726,02/2020,546,YES,2,$22660,07/2004,2007,No,UNKNOWN
132,47,1,Discover,Credit,6969946254132652,12/2022,588,YES,1,$19800,05/2011,2011,No,UNKNOWN
133,47,2,Mastercard,Credit,5181226307106931,11/2024,820,YES,2,$15500,01/2005,2014,No,Standard
134,47,3,Visa,Debit (Prepaid),4310689470082080,06/2023,458,YES,1,$13,01/2005,2008,No,UNKNOWN
135,47,4,Mastercard,Debit,5051066154001741,06/2021,526,YES,2,$4317,07/2001,2011,No,UNKNOWN
136,48,0,Mastercard,Debit,5456915066505066,12/2021,553,NO,1,$14719,03/2000,2008,No,UNKNOWN
137,48,1,Mastercard,Debit,5132664334960880,05/2021,593,YES,1,$9532,09/2017,2017,No,Platinum
138,48,2,Mastercard,Credit,5752873844240568,03/2020,486,YES,1,$10900,07/2006,2014,No,Standard
139,49,0,Mastercard,Credit,5494228198326752,09/2024,428,YES,2,$6200,11/2001,2012,No,Standard
140,49,1,Mastercard,Debit,5789639625525459,12/2012,43,YES,2,$2903,11/2005,2011,No,UNKNOWN
141,49,2,Mastercard,Debit,5392957769023387,10/2020,803,YES,2,$4355,12/1999,2010,No,Standard
142,50,0,Mastercard,Debit,5182820825620434,04/2021,126,YES,1,$28963,11/2007,2012,No,Prepaid
143,50,1,Mastercard,Debit,5102353988152905,12/2022,667,YES,2,$20913,05/2016,2016,No,Standard
144,50,2,Mastercard,Debit,5033135709911480,07/2024,170,YES,1,$23344,02/2010,2010,No,UNKNOWN
145,50,3,Mastercard,Debit,5611522756791997,01/2020,882,YES,2,$33642,10/2016,2016,No,UNKNOWN
146,51,0,Mastercard,Debit,5037404409791945,01/2022,681,YES,1,$14695,09/2010,2011,No,Personal
147,52,0,Mastercard,Credit,5571363047071896,09/2023,510,YES,1,$13200,01/2007,2015,No,Business
148,52,1,Visa,Debit,4083033843851772,01/2020,173,YES,1,$29950,09/2008,2013,No,Platinum
149,52,2,Visa,Credit,4829916759482899,07/2024,768,YES,2,$4600,12/2007,2011,No,UNKNOWN
150,53,0,Mastercard,Debit,5458492483408549,12/2022,92,YES,1,$10051,04/2002,2011,No,Gold
151,53,1,Mastercard,Debit,5879094230635425,12/2015,729,YES,2,$9796,02/2003,2013,No,Personal
152,54,0,Mastercard,Debit,5769435406360328,10/2021,957,YES,1,$17826,10/2009,2009,No,UNKNOWN
153,54,1,Mastercard,Debit,5588799529406913,11/2024,778,YES,1,$19086,12/2006,2009,No,Executive Business
154,54,2,Visa,Debit,4410685608952637,06/2024,265,YES,2,$17345,10/2014,2014,No,Classic
155,54,3,Visa,Debit,4470822684089911,09/2020,923,YES,2,$17976,02/2013,2013,No,Business
156,54,4,Visa,Debit,4804338444306727,01/2022,279,YES,2,$16447,01/2019,2019,No,Purchasing
157,55,0,Visa,Debit,4194362281636453,10/2024,271,YES,2,$29573,10/2008,2009,No,Business
158,55,1,Mastercard,Debit (Prepaid),5436469451844829,12/2021,48,YES,2,$98,12/2010,2010,No,UNKNOWN
159,55,2,Mastercard,Debit,5648865641388293,08/2019,71,YES,2,$2559,08/2002,2012,No,UNKNOWN
160,55,3,Mastercard,Debit,5914243757284149,10/2012,436,YES,2,$6552,01/2003,2010,No,Standard
161,56,0,Mastercard,Credit,5193780952753626,01/2021,591,YES,2,$13800,01/2020,2020,No,Business
162,57,0,Mastercard,Debit,5957925302951752,08/2020,746,YES,1,$16375,02/2020,2020,No,Standard
163,57,1,Visa,Debit,4557061225558443,05/2023,780,YES,1,$14213,01/2020,2020,No,Business
164,57,2,Visa,Debit (Prepaid),4883222888293069,09/2020,2,YES,1,$73,02/2020,2020,No,UNKNOWN
165,58,0,Mastercard,Debit,5476407228285230,11/2022,688,YES,2,$53466,07/2007,2013,No,Business
166,59,0,Visa,Credit,4698943729070491,09/2020,450,YES,1,$6600,01/2011,2013,No,Classic
167,59,1,Mastercard,Credit,5579147219556308,06/2022,806,NO,2,$7200,12/2015,2015,No,World Elite
168,60,0,Mastercard,Debit,5099614207935768,11/2020,856,YES,1,$2868,01/2020,2020,No,Gift Voucher
169,60,1,Discover,Credit,6177503172021506,05/2024,97,YES,1,$3400,01/2020,2020,No,UNKNOWN
170,61,0,Mastercard,Debit,5188130978534931,01/2022,446,YES,1,$12915,10/2011,2013,No,Prepaid
171,61,1,Visa,Debit (Prepaid),4860320285002452,12/2023,366,YES,2,$84,04/2009,2017,No,Classic
172,61,2,Discover,Credit,6417599205270844,07/2021,504,YES,2,$17600,04/2018,2018,No,UNKNOWN
173,61,3,Mastercard,Debit,5516722949603675,12/2012,621,YES,1,$31542,11/2006,2009,No,Standard
174,61,4,Mastercard,Debit,5891053637541514,02/2022,362,YES,2,$23049,06/2013,2013,No,UNKNOWN
175,61,5,Visa,Debit,4222570131769035,05/2020,141,YES,1,$29734,12/2017,2017,No,Classic
176,61,6,Visa,Credit,4453742478192143,01/2020,346,YES,2,$27000,09/2011,2016,No,Classic
177,61,7,Mastercard,Debit (Prepaid),5335984658439104,11/2022,320,YES,1,$18,03/2008,2010,No,World
178,62,0,Mastercard,Debit,5708150083756692,04/2023,824,YES,1,$17848,12/2015,2015,No,UNKNOWN
179,62,1,Mastercard,Debit,5238684130320063,11/2022,870,NO,1,$25563,05/2010,2010,No,Standard
180,62,2,Visa,Credit,4740880792169372,04/2020,168,YES,2,$12000,10/2010,2010,No,UNKNOWN
181,62,3,Amex,Credit,361648729239104,11/2018,709,NO,2,$6600,02/2012,2012,No,UNKNOWN
182,63,0,Amex,Credit,363305614201313,09/2023,943,NO,1,$5600,01/2020,2020,No,Business
183,63,1,Visa,Debit,4360859456629853,11/2022,428,YES,3,$11873,02/2020,2020,No,UNKNOWN
184,63,2,Mastercard,Credit,5498016831726771,02/2020,871,YES,1,$7200,02/2020,2020,No,Prepaid
185,64,0,Amex,Credit,381572912003735,08/2024,145,YES,1,$10000,02/2020,2020,No,Business
186,64,1,Mastercard,Credit,5079302523329059,04/2023,381,YES,2,$500,11/2010,2010,No,UNKNOWN
187,65,0,Mastercard,Debit,5546998350637125,02/2020,718,YES,1,$22697,02/2020,2020,No,UNKNOWN
188,65,1,Mastercard,Credit,5326031764905960,08/2023,437,YES,1,$18000,03/2013,2013,No,Platinum
189,65,2,Mastercard,Debit,5096150037217374,10/2024,862,YES,1,$32903,06/2010,2010,No,Corporate Nanjing
190,66,0,Visa,Debit,4489873116412364,08/2021,547,YES,2,$12764,05/1999,2010,No,Business
191,66,1,Mastercard,Credit,5621725368325863,10/2022,60,YES,1,$6300,02/2019,2019,No,UNKNOWN
192,67,0,Mastercard,Debit,5923138803280580,02/2022,934,YES,2,$7541,09/2008,2013,No,Standard
193,67,1,Visa,Debit,4447989421793048,03/2022,995,YES,2,$1266,06/2007,2012,No,Classic
194,67,2,Mastercard,Credit,5000307662634780,04/2020,263,NO,1,$9500,09/2014,2014,No,Personal
195,68,0,Mastercard,Debit,5707305515533516,04/2020,203,YES,2,$1837,06/2010,2010,No,UNKNOWN
196,68,1,Mastercard,Debit,5864987017850552,08/2023,258,YES,2,$17453,02/2006,2008,No,UNKNOWN
197,69,0,Visa,Debit,4228885239928189,10/2013,543,NO,1,$28283,05/2008,2012,No,Classic
198,69,1,Visa,Credit,4210237285941913,04/2020,160,YES,1,$13500,05/2010,2012,No,Business
199,69,2,Visa,Credit,4877073763902898,07/2014,786,YES,2,$13300,06/2012,2012,No,Vpay
200,70,0,Mastercard,Debit,5558040779986506,09/2021,69,YES,2,$17941,04/2009,2009,No,World Black
201,71,0,Visa,Credit,4642496218651973,04/2018,594,YES,1,$14400,06/2010,2012,No,Classic
202,71,1,Visa,Credit,4244401907291512,04/2020,120,YES,1,$4400,07/2012,2012,No,UNKNOWN
203,71,2,Mastercard,Credit,5157439545898691,03/2020,657,YES,1,$13000,02/2020,2020,No,Standard
204,71,3,Visa,Debit,4079516725179269,04/2023,72,YES,2,$22701,02/2020,2020,No,Classic
205,72,0,Mastercard,Credit,5597117503471640,08/2024,934,NO,1,$16100,02/2020,2020,No,Business
206,72,1,Mastercard,Debit,5808372218918202,09/2023,138,YES,2,$7629,02/2020,2020,No,UNKNOWN
207,73,0,Mastercard,Debit,5565497732362129,03/2022,430,NO,1,$16538,04/2012,2012,No,Prepaid Platinum Travel
208,73,1,Visa,Debit,4072893581482208,12/2020,578,YES,2,$22746,01/2008,2010,No,Classic
209,73,2,Mastercard,Debit,5161929618424764,07/2016,743,YES,1,$9737,02/2016,2016,No,World
210,73,3,Mastercard,Credit,5359358098670039,07/2019,428,YES,1,$6500,02/2011,2014,No,Prepaid Business
211,73,4,Mastercard,Debit,5093514487076217,06/2020,889,YES,2,$2650,02/2011,2013,No,Gift
212,73,5,Visa,Credit,4409790595650716,05/2012,839,YES,2,$8200,01/2009,2011,No,Gold
213,73,6,Amex,Credit,373325875666765,01/2022,204,YES,2,$6200,11/2006,2013,No,Small Business
214,74,0,Amex,Credit,366837170672753,01/2021,803,YES,2,$22600,11/2006,2014,No,Personal
215,74,1,Mastercard,Debit,5260255791659846,05/2024,428,YES,2,$6940,03/2006,2009,No,World Elite
216,74,2,Mastercard,Debit,5911939393457828,03/2024,410,YES,2,$23408,04/1996,2008,No,Standard
217,74,3,Visa,Credit,4226284680001632,09/2022,966,YES,2,$9700,11/2004,2007,No,Classic
218,75,0,Mastercard,Debit,5624997997810589,06/2024,992,NO,2,$10538,07/2006,2006,No,UNKNOWN
219,75,1,Mastercard,Debit,5752209560237460,03/2023,385,YES,2,$6853,08/2001,2006,No,UNKNOWN
220,75,2,Mastercard,Debit,5470018669871087,10/2020,598,YES,2,$607,12/2002,2010,No,Prepaid Reloadable
221,75,3,Mastercard,Credit,5764603958082866,08/2021,397,YES,1,$0,08/2010,2010,No,UNKNOWN
222,75,4,Visa,Debit,4378354586828464,06/2021,644,YES,2,$8253,10/2004,2011,No,Platinum
223,76,0,Visa,Debit,4415203972868492,09/2020,847,YES,2,$8492,01/2020,2020,No,Prepaid Classic
224,77,0,Visa,Credit,4716309780327853,07/2022,275,YES,1,$9100,01/2010,2010,No,Government Purchasing
225,77,1,Mastercard,Credit,5175414290540891,04/2022,497,NO,2,$2600,07/2011,2011,No,UNKNOWN
226,77,2,Mastercard,Credit,5079431552272493,05/2024,813,NO,1,$7300,11/2002,2010,No,UNKNOWN
227,78,0,Visa,Credit,4841586209388617,08/2020,207,YES,1,$15000,10/2009,2009,No,UNKNOWN
228,78,1,Mastercard,Credit,5133341979041600,04/2024,497,YES,2,$18700,02/2020,2020,No,UNKNOWN
229,78,2,Visa,Debit,4044685132149960,05/2021,579,YES,1,$21458,01/2020,2020,No,Prepaid Classic
230,78,3,Visa,Credit,4825181289428263,04/2020,635,NO,1,$15700,11/2010,2014,No,Vpay
231,79,0,Mastercard,Debit,5533057740649374,01/2020,13,YES,2,$20765,12/2014,2014,No,Business
232,79,1,Mastercard,Debit,5137811039972629,06/2022,170,NO,2,$18101,02/2020,2020,No,Gold
233,79,2,Visa,Credit,4409545480052957,11/2024,528,YES,1,$8400,02/2020,2020,No,Classic
234,79,3,Mastercard,Debit,5169705466479218,03/2020,66,YES,1,$1737,01/2020,2020,No,Standard
235,80,0,Mastercard,Credit,5782138554730431,02/2020,217,YES,2,$20900,02/2020,2020,No,UNKNOWN
236,80,1,Visa,Credit,4450097042295695,11/2021,601,YES,1,$23700,02/2020,2020,No,Gold
237,80,2,Mastercard,Credit,5298079382002761,11/2021,989,YES,1,$17500,01/2020,2020,No,Business
238,81,0,Visa,Debit,4911894810892317,06/2024,769,YES,1,$26083,12/2009,2009,No,Atm Card
239,81,1,Visa,Debit,4394014058373538,10/2022,943,YES,1,$31589,05/2008,2008,No,UNKNOWN
240,81,2,Visa,Credit,4984110253172329,06/2021,453,YES,2,$24200,10/2000,2013,No,Classic
241,82,0,Mastercard,Debit,5658875071888530,02/2020,190,YES,2,$18321,02/2020,2020,No,UNKNOWN
242,83,0,Mastercard,Debit,5377126168537132,10/2022,94,YES,2,$7551,11/2002,2010,No,Gold
243,83,1,Mastercard,Debit,5606824501502078,06/2014,451,YES,1,$15377,08/2004,2011,No,UNKNOWN
244,83,2,Visa,Debit,4501704511432206,03/2023,324,YES,1,$12990,10/2007,2016,No,Infinite
245,83,3,Visa,Debit,4015096339812707,02/2023,494,YES,1,$8509,06/2010,2010,No,UNKNOWN
246,84,0,Visa,Debit,4467199760802877,11/2014,176,YES,1,$96907,11/2014,2014,No,Gold
247,84,1,Visa,Credit,4081474027835147,07/2015,45,YES,1,$43900,03/2008,2013,No,Traditional
248,84,2,Visa,Debit (Prepaid),4868297041449163,10/2020,440,YES,2,$76,11/2005,2007,No,Classic
249,85,0,Mastercard,Debit,5843714671989158,01/2020,533,YES,2,$50915,01/2020,2020,No,UNKNOWN
250,85,1,Visa,Debit,4052306795072868,12/2021,369,YES,2,$31767,02/2020,2020,No,Classic
251,86,0,Visa,Credit,4229889369220690,04/2024,82,YES,2,$13200,07/2008,2010,No,Classic
252,86,1,Mastercard,Credit,5936949471946678,10/2022,372,YES,2,$16000,02/2011,2012,No,Standard
253,86,2,Visa,Debit,4748458102584203,07/2024,223,YES,2,$18132,01/2020,2020,No,Platinum
254,86,3,Visa,Credit,4862788591864799,02/2019,466,YES,1,$300,04/2012,2012,No,Classic
